n,mean_var_est,sd_var_est,q05_var,q95_var,mean_score_est,sd_score_est,theologian,domain,analysis_type
235,0.33089210424622656,0.027331190777439833,0.28336200331878486,0.3767020140025459,5.380324468085107,0.02166226889567775,rutledge,dekker,sequential
240,0.32835170905247557,0.02588967147857053,0.28322933010808893,0.3684615258891215,5.380653125,0.021910884929662207,rutledge,dekker,sequential
245,0.3278055913348946,0.026921925700924703,0.28076384242221475,0.3692400782034125,5.381154081632653,0.02055556810013663,rutledge,dekker,sequential
250,0.3303662108433735,0.024989313042068834,0.28465225903614433,0.3687399096385545,5.38028,0.02100614472559076,rutledge,dekker,sequential
255,0.32884884495136635,0.024310501618260108,0.2875197815346609,0.3699657924193294,5.381073529411765,0.018853098536817804,rutledge,dekker,sequential
260,0.32842008278883283,0.0238224295690501,0.28611355388699106,0.36618498477873485,5.380601923076923,0.019806112442064667,rutledge,dekker,sequential
265,0.3295632173742138,0.023742288434303323,0.2865916237850199,0.3636049840980548,5.379216981132076,0.018470164077870516,rutledge,dekker,sequential
270,0.3295765158164671,0.02113027719752459,0.2942130920418559,0.36417625077447335,5.379012037037037,0.017160622367244523,rutledge,dekker,sequential
275,0.32914338835434637,0.02045701633902533,0.29274657846715374,0.3595422818513601,5.381112727272727,0.01787449376306856,rutledge,dekker,sequential
280,0.3295857494879672,0.021012785420112187,0.29238586269521266,0.3604305475550434,5.379567857142857,0.01648302699224393,rutledge,dekker,sequential
285,0.3290326190696813,0.01914765624197869,0.2968692472819369,0.3577238733938719,5.380555263157895,0.016503834583949512,rutledge,dekker,sequential
290,0.3286603366245077,0.01947908749633482,0.2938844931989017,0.35758150876983613,5.379660344827586,0.014715973518265082,rutledge,dekker,sequential
295,0.3302573244552059,0.016797759154328747,0.29789856090741396,0.35533864075291133,5.380472881355932,0.014816982190907631,rutledge,dekker,sequential
300,0.33023432239409134,0.017113617687056312,0.30125466833890746,0.3540431734253066,5.379324166666667,0.013704868113720514,rutledge,dekker,sequential
305,0.32961911399913724,0.015398647985940941,0.3016342887187233,0.35245177011432266,5.37957868852459,0.012649799631724334,rutledge,dekker,sequential
310,0.3294293956832655,0.01540284485002963,0.29981121626735563,0.35052067021609806,5.37986129032258,0.01217582013191711,rutledge,dekker,sequential
315,0.3281495658932362,0.015535188027623378,0.3015966535234051,0.34814029167930355,5.379926984126985,0.012422694780433995,rutledge,dekker,sequential
320,0.3290715578467869,0.014090144446385351,0.3020857186153014,0.34776752914380826,5.379984375,0.011038065619890479,rutledge,dekker,sequential
325,0.3291871996676163,0.013337163287026534,0.30331132775403624,0.34626966108736856,5.380063846153846,0.010403784527496497,rutledge,dekker,sequential
330,0.3286276938265636,0.011958386723751399,0.3056816814612691,0.3449915305217833,5.38013106060606,0.010274857614693678,rutledge,dekker,sequential
335,0.32885482896148005,0.011529772233265883,0.3081948649343101,0.3433679143578514,5.380355223880597,0.009090790103295885,rutledge,dekker,sequential
340,0.3295759416211175,0.010011339303773032,0.31080163868644767,0.34211524488113854,5.380121323529412,0.008142050449173219,rutledge,dekker,sequential
345,0.3291940159462421,0.008695728531790944,0.31246118764745573,0.3397491942618816,5.380038405797102,0.007348768733160293,rutledge,dekker,sequential
350,0.32961031979124017,0.007692908938074867,0.31387589541547267,0.3378248375460487,5.3802328571428575,0.006548048533225171,rutledge,dekker,sequential
355,0.32929142446486825,0.006506751867268362,0.31467108796848875,0.33578754127874616,5.379711971830986,0.0053748369528232795,rutledge,dekker,sequential
360,0.329462601555246,0.0046503533718363094,0.3182927414596874,0.3335462789674257,5.380363888888889,0.003869989783681888,rutledge,dekker,sequential
365,0.32949630155803084,0.0015224693339455826,0.32750475124190737,0.3302877559084754,5.380092465753425,0.001469730229281646,rutledge,dekker,sequential
366,0.3293829300471601,1.4617328621695005e-16,0.32938293004715985,0.32938293004716035,5.380122950819672,0,rutledge,dekker,sequential
5,0.20077399999999995,0.258820329282109,0.017999999999999978,0.5335999999999994,7.42576,0.20744949502462492,rutledge,esthetiek,sequential
10,0.21260377777777772,0.19522653953126157,0.05553333333333336,0.5584277777777777,7.43002,0.15448342907807117,rutledge,esthetiek,sequential
15,0.22474819047619043,0.16422494321732628,0.07304761904761899,0.5346666666666662,7.409986666666667,0.12203171249920557,rutledge,esthetiek,sequential
20,0.22312026315789468,0.14935062367379806,0.08215789473684203,0.6019105263157895,7.41693,0.09735029151737055,rutledge,esthetiek,sequential
25,0.21896206666666662,0.13026354807115265,0.09322833333333333,0.5208116666666667,7.418168,0.08629503718572558,rutledge,esthetiek,sequential
30,0.21506765517241375,0.11480989183039611,0.0943264367816091,0.49139770114942566,7.4216066666666665,0.08043231525261485,rutledge,esthetiek,sequential
35,0.21494981512605035,0.10364155244123552,0.10700588235294115,0.4430478991596635,7.421805714285714,0.07242559675102259,rutledge,esthetiek,sequential
40,0.21006164102564098,0.08146733893649274,0.11420512820512817,0.4011169871794866,7.42011,0.06892742472890974,rutledge,esthetiek,sequential
45,0.218106606060606,0.09100189047232642,0.11878535353535356,0.4124747474747474,7.417191111111111,0.06704805565775639,rutledge,esthetiek,sequential
50,0.21660089795918364,0.08388878221403398,0.11604999999999994,0.38634632653061196,7.420064,0.06267705105905125,rutledge,esthetiek,sequential
55,0.2158718114478114,0.07958022047925767,0.11772727272727265,0.3874175084175085,7.419934545454545,0.059307036511176206,rutledge,esthetiek,sequential
